	_user_id	applied_count	hits@10_count	hits@15_count	hits@20_count	hits@25_count	hits@3_count	hits@5_count	recall@10	recall@15	recall@20	recall@25	recall@3	recall@5
99	238871	9	7	7	8	8	6	6	0.7777777777777778	0.7777777777777778	0.8888888888888888	0.8888888888888888	0.6666666666666666	0.6666666666666666
707	1362276	9	8	9	9	9	5	6	0.8888888888888888	1.0	1.0	1.0	0.5555555555555556	0.6666666666666666
84	225100	9	3	4	4	5	0	1	0.3333333333333333	0.4444444444444444	0.4444444444444444	0.5555555555555556	0.0	0.1111111111111111
745	1414967	9	8	8	8	8	8	8	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888
91	232585	8	2	3	4	4	0	0	0.25	0.375	0.5	0.5	0.0	0.0
497	1037729	8	5	5	6	7	1	2	0.625	0.625	0.75	0.875	0.125	0.25
459	972159	8	5	7	7	8	3	5	0.625	0.875	0.875	1.0	0.375	0.625
460	972223	8	3	4	6	6	1	1	0.375	0.5	0.75	0.75	0.125	0.125
716	1375464	8	3	4	6	6	2	2	0.375	0.5	0.75	0.75	0.25	0.25
37	143852	8	7	7	7	8	4	6	0.875	0.875	0.875	1.0	0.5	0.75
179	458554	8	2	2	3	4	0	1	0.25	0.25	0.375	0.5	0.0	0.125
130	282333	8	5	6	6	6	1	3	0.625	0.75	0.75	0.75	0.125	0.375
468	979760	8	6	7	7	7	6	6	0.75	0.875	0.875	0.875	0.75	0.75
29	114667	8	8	8	8	8	7	8	1.0	1.0	1.0	1.0	0.875	1.0
472	991938	8	4	4	4	4	2	3	0.5	0.5	0.5	0.5	0.25	0.375
303	755417	8	1	1	2	4	0	0	0.125	0.125	0.25	0.5	0.0	0.0
487	1026312	8	7	7	7	7	7	7	0.875	0.875	0.875	0.875	0.875	0.875
25	108786	8	5	5	6	6	2	3	0.625	0.625	0.75	0.75	0.25	0.375
298	748943	8	3	4	5	7	1	1	0.375	0.5	0.625	0.875	0.125	0.125
666	1297676	8	2	2	2	4	1	2	0.25	0.25	0.25	0.5	0.125	0.25
161	388358	8	6	7	8	8	3	3	0.75	0.875	1.0	1.0	0.375	0.375
559	1134490	8	7	8	8	8	5	6	0.875	1.0	1.0	1.0	0.625	0.75
248	664269	8	2	3	4	5	2	2	0.25	0.375	0.5	0.625	0.25	0.25
432	936160	8	4	6	6	6	3	3	0.5	0.75	0.75	0.75	0.375	0.375
433	938697	8	6	6	6	7	3	5	0.75	0.75	0.75	0.875	0.375	0.625
276	711050	8	5	5	5	6	3	4	0.625	0.625	0.625	0.75	0.375	0.5
414	902670	8	8	8	8	8	3	6	1.0	1.0	1.0	1.0	0.375	0.75
147	321953	8	7	7	8	8	3	3	0.875	0.875	1.0	1.0	0.375	0.375
271	707328	8	4	6	6	7	3	3	0.5	0.75	0.75	0.875	0.375	0.375
257	678227	7	5	6	6	6	2	4	0.7142857142857143	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.2857142857142857	0.5714285714285714
638	1250062	7	3	3	4	4	3	3	0.42857142857142855	0.42857142857142855	0.5714285714285714	0.5714285714285714	0.42857142857142855	0.42857142857142855
694	1344341	7	1	2	2	2	0	1	0.14285714285714285	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.0	0.14285714285714285
632	1237713	7	7	7	7	7	4	6	1.0	1.0	1.0	1.0	0.5714285714285714	0.8571428571428571
691	1337616	7	7	7	7	7	4	5	1.0	1.0	1.0	1.0	0.5714285714285714	0.7142857142857143
63	184870	7	5	5	6	7	4	4	0.7142857142857143	0.7142857142857143	0.8571428571428571	1.0	0.5714285714285714	0.5714285714285714
469	982658	7	2	5	6	6	2	2	0.2857142857142857	0.7142857142857143	0.8571428571428571	0.8571428571428571	0.2857142857142857	0.2857142857142857
374	856734	7	3	4	5	7	0	2	0.42857142857142855	0.5714285714285714	0.7142857142857143	1.0	0.0	0.2857142857142857
724	1391463	7	1	2	2	4	1	1	0.14285714285714285	0.2857142857142857	0.2857142857142857	0.5714285714285714	0.14285714285714285	0.14285714285714285
47	161055	7	3	5	6	7	0	2	0.42857142857142855	0.7142857142857143	0.8571428571428571	1.0	0.0	0.2857142857142857
701	1351340	7	0	0	0	1	0	0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0
463	975826	7	2	3	3	3	2	2	0.2857142857142857	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.2857142857142857	0.2857142857142857
650	1273986	7	3	4	4	4	1	2	0.42857142857142855	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.14285714285714285	0.2857142857142857
404	895917	7	3	5	5	5	2	2	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.2857142857142857	0.2857142857142857
456	968930	7	5	6	6	6	2	4	0.7142857142857143	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.2857142857142857	0.5714285714285714
679	1315450	7	6	6	7	7	3	4	0.8571428571428571	0.8571428571428571	1.0	1.0	0.42857142857142855	0.5714285714285714
449	962574	7	4	7	7	7	4	4	0.5714285714285714	1.0	1.0	1.0	0.5714285714285714	0.5714285714285714
659	1286737	7	3	3	4	5	0	1	0.42857142857142855	0.42857142857142855	0.5714285714285714	0.7142857142857143	0.0	0.14285714285714285
265	701189	7	6	7	7	7	3	4	0.8571428571428571	1.0	1.0	1.0	0.42857142857142855	0.5714285714285714
345	820618	7	3	6	6	6	1	3	0.42857142857142855	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.14285714285714285	0.42857142857142855
324	789865	7	1	1	1	2	1	1	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.14285714285714285	0.14285714285714285
592	1181619	7	4	5	5	6	1	2	0.5714285714285714	0.7142857142857143	0.7142857142857143	0.8571428571428571	0.14285714285714285	0.2857142857142857
593	1181990	7	4	4	6	6	1	3	0.5714285714285714	0.5714285714285714	0.8571428571428571	0.8571428571428571	0.14285714285714285	0.42857142857142855
762	1449354	7	6	6	6	6	3	4	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.42857142857142855	0.5714285714285714
531	1093438	7	5	5	5	6	4	5	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.8571428571428571	0.5714285714285714	0.7142857142857143
133	285048	7	6	6	7	7	3	3	0.8571428571428571	0.8571428571428571	1.0	1.0	0.42857142857142855	0.42857142857142855
601	1195218	7	0	0	1	1	0	0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0
120	268777	7	6	6	6	6	5	6	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.7142857142857143	0.8571428571428571
190	501480	7	3	5	6	6	2	3	0.42857142857142855	0.7142857142857143	0.8571428571428571	0.8571428571428571	0.2857142857142857	0.42857142857142855
588	1172665	7	6	7	7	7	4	5	0.8571428571428571	1.0	1.0	1.0	0.5714285714285714	0.7142857142857143
577	1153353	7	3	5	5	6	2	2	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.8571428571428571	0.2857142857142857	0.2857142857142857
727	1392434	7	7	7	7	7	6	7	1.0	1.0	1.0	1.0	0.8571428571428571	1.0
152	358854	7	4	6	6	6	2	3	0.5714285714285714	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.2857142857142857	0.42857142857142855
150	342320	7	5	6	6	6	3	3	0.7142857142857143	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.42857142857142855	0.42857142857142855
428	927334	6	2	2	2	2	1	1	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.16666666666666666	0.16666666666666666
278	712193	6	3	3	3	4	1	1	0.5	0.5	0.5	0.6666666666666666	0.16666666666666666	0.16666666666666666
333	804193	6	5	5	5	5	2	3	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.3333333333333333	0.5
500	1041158	6	3	4	6	6	1	2	0.5	0.6666666666666666	1.0	1.0	0.16666666666666666	0.3333333333333333
